dig_round,anch_round,mean_ic,fix_round,run
0.9,0.3,0.15393619523809524,0.01,i) AcX + Trypsin
1.0,0.3,0.14668769792960662,0.01,i) AcX + Trypsin
0.0,0.4,0.03605625921325052,0.01,i) AcX + Trypsin
0.1,0.4,0.11356044886128365,0.01,i) AcX + Trypsin
0.2,0.4,0.15746576542443064,0.01,i) AcX + Trypsin
0.3,0.4,0.18139887287784678,0.01,i) AcX + Trypsin
0.4,0.4,0.19570905445134576,0.01,i) AcX + Trypsin
0.5,0.4,0.2009398658385093,0.01,i) AcX + Trypsin
0.6,0.4,0.2021915043478261,0.01,i) AcX + Trypsin
0.7,0.4,0.20080632422360248,0.01,i) AcX + Trypsin
0.8,0.4,0.19842197598343686,0.01,i) AcX + Trypsin
0.9,0.4,0.19240041904761904,0.01,i) AcX + Trypsin
1.0,0.4,0.18675997950310558,0.01,i) AcX + Trypsin
0.0,0.5,0.028301377018633538,0.01,i) AcX + Trypsin
0.1,0.5,0.1053828138716356,0.01,i) AcX + Trypsin
0.2,0.5,0.15490714057971017,0.01,i) AcX + Trypsin
0.3,0.5,0.1859923751552795,0.01,i) AcX + Trypsin
0.4,0.5,0.2053228347826087,0.01,i) AcX + Trypsin
0.5,0.5,0.21819711221532093,0.01,i) AcX + Trypsin
0.6,0.5,0.22379108716356108,0.01,i) AcX + Trypsin
0.7,0.5,0.22484418612836438,0.01,i) AcX + Trypsin
0.8,0.5,0.22554041200828157,0.01,i) AcX + Trypsin
0.9,0.5,0.22419616252587993,0.01,i) AcX + Trypsin
1.0,0.5,0.21896250144927537,0.01,i) AcX + Trypsin
0.0,0.6,0.023565289648033127,0.01,i) AcX + Trypsin
0.1,0.6,0.09625227991718426,0.01,i) AcX + Trypsin
0.2,0.6,0.14561212732919254,0.01,i) AcX + Trypsin
0.3,0.6,0.18164734389233955,0.01,i) AcX + Trypsin
0.4,0.6,0.20581870869565216,0.01,i) AcX + Trypsin
0.5,0.6,0.22257573002070394,0.01,i) AcX + Trypsin
0.6,0.6,0.2329739904761905,0.01,i) AcX + Trypsin
0.7,0.6,0.24139880455486543,0.01,i) AcX + Trypsin
0.8,0.6,0.24441396149068323,0.01,i) AcX + Trypsin
0.9,0.6,0.24456662587991718,0.01,i) AcX + Trypsin
1.0,0.6,0.24421617246376812,0.01,i) AcX + Trypsin
0.0,0.7,0.016945589648033128,0.01,i) AcX + Trypsin
0.1,0.7,0.08419051387163562,0.01,i) AcX + Trypsin
0.2,0.7,0.13022118985507247,0.01,i) AcX + Trypsin
0.3,0.7,0.17002526107660454,0.01,i) AcX + Trypsin
0.4,0.7,0.19687356314699794,0.01,i) AcX + Trypsin
0.5,0.7,0.21748597826086957,0.01,i) AcX + Trypsin
0.6,0.7,0.23242527412008282,0.01,i) AcX + Trypsin
0.7,0.7,0.24452568198757765,0.01,i) AcX + Trypsin
0.8,0.7,0.2514379320910973,0.01,i) AcX + Trypsin
0.9,0.7,0.25530260082815737,0.01,i) AcX + Trypsin
1.0,0.7,0.2592747973084886,0.01,i) AcX + Trypsin
0.0,0.8,0.010802727743271222,0.01,i) AcX + Trypsin
0.1,0.8,0.06676047412008282,0.01,i) AcX + Trypsin
0.2,0.8,0.11394062463768116,0.01,i) AcX + Trypsin
0.3,0.8,0.15085752360248447,0.01,i) AcX + Trypsin
0.4,0.8,0.17977768654244305,0.01,i) AcX + Trypsin
0.5,0.8,0.20226868964803313,0.01,i) AcX + Trypsin
0.6,0.8,0.22123081614906834,0.01,i) AcX + Trypsin
0.7,0.8,0.23509311014492754,0.01,i) AcX + Trypsin
0.8,0.8,0.24628439855072465,0.01,i) AcX + Trypsin
0.9,0.8,0.2567310971014493,0.01,i) AcX + Trypsin
1.0,0.8,0.26262621780538303,0.01,i) AcX + Trypsin
0.0,0.9,0.00537349751552795,0.01,i) AcX + Trypsin
0.1,0.9,0.05512053229813665,0.01,i) AcX + Trypsin
0.2,0.9,0.0936948635610766,0.01,i) AcX + Trypsin
0.3,0.9,0.12620487494824018,0.01,i) AcX + Trypsin
0.4,0.9,0.15458595569358177,0.01,i) AcX + Trypsin
0.5,0.9,0.1780503890269151,0.01,i) AcX + Trypsin
0.6,0.9,0.19879117080745343,0.01,i) AcX + Trypsin
0.7,0.9,0.21389313768115942,0.01,i) AcX + Trypsin
0.8,0.9,0.22852388612836438,0.01,i) AcX + Trypsin
0.9,0.9,0.24026605859213251,0.01,i) AcX + Trypsin
1.0,0.9,0.24917628488612836,0.01,i) AcX + Trypsin
0.0,1.0,0.0,0.01,i) AcX + Trypsin
0.1,1.0,0.0384998585921325,0.01,i) AcX + Trypsin
0.2,1.0,0.06882169523809523,0.01,i) AcX + Trypsin
0.3,1.0,0.09963444679089027,0.01,i) AcX + Trypsin
0.4,1.0,0.12319327701863353,0.01,i) AcX + Trypsin
0.5,1.0,0.1440531035196687,0.01,i) AcX + Trypsin
0.6,1.0,0.1641316635610766,0.01,i) AcX + Trypsin
0.7,1.0,0.1795307734989648,0.01,i) AcX + Trypsin
0.8,1.0,0.1943055817805383,0.01,i) AcX + Trypsin
0.9,1.0,0.20827389482401656,0.01,i) AcX + Trypsin
1.0,1.0,0.21913964099378883,0.01,i) AcX + Trypsin
0.0,0.0,0.0,0.05,i) AcX + Trypsin
0.1,0.0,0.0,0.05,i) AcX + Trypsin
0.2,0.0,0.0,0.05,i) AcX + Trypsin
0.3,0.0,0.0,0.05,i) AcX + Trypsin
0.4,0.0,0.0,0.05,i) AcX + Trypsin
0.5,0.0,0.0,0.05,i) AcX + Trypsin
0.6,0.0,0.0,0.05,i) AcX + Trypsin
0.7,0.0,0.0,0.05,i) AcX + Trypsin
0.8,0.0,0.0,0.05,i) AcX + Trypsin
0.9,0.0,0.0,0.05,i) AcX + Trypsin
1.0,0.0,0.0,0.05,i) AcX + Trypsin
0.0,0.1,0.042639121532091095,0.05,i) AcX + Trypsin
0.1,0.1,0.07294462111801243,0.05,i) AcX + Trypsin
0.2,0.1,0.08014933788819875,0.05,i) AcX + Trypsin
0.3,0.1,0.07976018654244306,0.05,i) AcX + Trypsin
0.4,0.1,0.07570618571428571,0.05,i) AcX + Trypsin
0.5,0.1,0.07201460414078674,0.05,i) AcX + Trypsin
0.6,0.1,0.06792519378881988,0.05,i) AcX + Trypsin
0.7,0.1,0.06329444824016563,0.05,i) AcX + Trypsin
0.8,0.1,0.057985602898550724,0.05,i) AcX + Trypsin
0.9,0.1,0.054707618426501035,0.05,i) AcX + Trypsin
1.0,0.1,0.05136986708074534,0.05,i) AcX + Trypsin
0.0,0.2,0.04333244430641822,0.05,i) AcX + Trypsin
0.1,0.2,0.1011840320910973,0.05,i) AcX + Trypsin
0.2,0.2,0.12283108385093168,0.05,i) AcX + Trypsin
0.3,0.2,0.13073548757763975,0.05,i) AcX + Trypsin
0.4,0.2,0.1288377602484472,0.05,i) AcX + Trypsin
0.5,0.2,0.12639808819875775,0.05,i) AcX + Trypsin
0.6,0.2,0.12236855507246376,0.05,i) AcX + Trypsin
0.7,0.2,0.11658299089026915,0.05,i) AcX + Trypsin
0.8,0.2,0.1105915867494824,0.05,i) AcX + Trypsin
0.9,0.2,0.10653171262939959,0.05,i) AcX + Trypsin
1.0,0.2,0.09974460848861283,0.05,i) AcX + Trypsin
0.0,0.3,0.039150485507246376,0.05,i) AcX + Trypsin
0.1,0.3,0.10897649648033127,0.05,i) AcX + Trypsin
0.2,0.3,0.14355992401656315,0.05,i) AcX + Trypsin
0.3,0.3,0.1596447778467909,0.05,i) AcX + Trypsin
0.4,0.3,0.16582497204968946,0.05,i) AcX + Trypsin
0.5,0.3,0.16683580414078678,0.05,i) AcX + Trypsin
0.6,0.3,0.16564295238095236,0.05,i) AcX + Trypsin
0.7,0.3,0.16207639378881988,0.05,i) AcX + Trypsin
0.8,0.3,0.1567139645962733,0.05,i) AcX + Trypsin
0.9,0.3,0.14847288799171843,0.05,i) AcX + Trypsin
1.0,0.3,0.14268169316770188,0.05,i) AcX + Trypsin
0.0,0.4,0.03329555983436853,0.05,i) AcX + Trypsin
0.1,0.4,0.1068600983436853,0.05,i) AcX + Trypsin
0.2,0.4,0.15150523271221533,0.05,i) AcX + Trypsin
0.3,0.4,0.17470742629399585,0.05,i) AcX + Trypsin
0.4,0.4,0.18787838964803313,0.05,i) AcX + Trypsin
0.5,0.4,0.19414458737060042,0.05,i) AcX + Trypsin
0.6,0.4,0.19559982298136647,0.05,i) AcX + Trypsin
0.7,0.4,0.1929741089026915,0.05,i) AcX + Trypsin
0.8,0.4,0.19271593022774328,0.05,i) AcX + Trypsin
